gene	cluster
NM_164358.2	4
NM_001169368.3	4
NM_001272894.1	1
NR_133060.1	2
NM_001272900.1	2
NM_080359.4	2
NM_001272916.1	3
NM_057917.4	2
NM_001272918.1	2
NM_001014455.2	4
NM_001014454.2	3
NM_001201751.2	2
NM_134774.3	2
NM_001032048.2	2
NM_134817.3	1
NM_164490.1	1
NM_001273023.1	1
NM_134862.4	4
NM_164498.3	3
NR_133066.1	4
NM_134904.3	4
NM_057947.4	3
NM_001298659.1	3
NM_078747.3	2
NM_058068.4	3
NM_001273129.1	3
NM_164615.2	2
NM_001201765.2	2
NM_001201763.2	3
NM_057219.4	2
NR_073735.1	4
NM_057270.5	2
NM_001298805.1	4
NM_135326.5	4
NM_164786.2	3
NM_001042881.5	1
NM_001298821.1	1
NM_001298820.1	1
NM_001298824.1	3
NM_001273335.1	2
NM_001259017.2	4
NM_001273342.1	4
NM_176001.4	2
NM_001201817.1	1
NM_001273361.1	2
NM_078799.3	2
NM_078802.4	4
NM_001169451.2	1
NM_205948.3	4
NM_001273364.1	4
NM_079975.4	4
NM_135463.3	4
NM_135469.4	2
NM_078804.4	4
NM_135564.4	2
NM_164935.3	1
NM_138760.3	4
NM_001259070.1	2
NM_205969.2	1
NM_058003.4	4
NR_001646.1	4
NM_001169497.1	4
NM_001298958.1	1
NM_001103689.2	2
NM_078838.3	1
NM_135854.3	2
NM_057442.5	2
NM_001298998.1	1
NM_057908.4	3
NM_001273575.1	2
NM_135957.5	2
NM_135969.4	2
NM_001299071.1	1
NM_001273597.1	2
NR_133085.1	4
NM_001273612.2	4
NM_134302.2	4
NM_001273652.1	2
NM_001273661.1	2
NM_001273681.1	2
NM_001273675.1	1
NM_001259174.1	4
NM_165344.3	3
NM_001299182.1	3
NM_001042906.2	4
NM_057585.3	3
NM_001273743.1	4
NM_136267.5	3
NM_078891.3	3
NM_001259204.1	4
NM_080081.3	4
NM_001038772.2	3
NM_001038776.3	3
NM_001144289.2	4
NM_134670.3	1
NM_134683.2	3
NM_001272903.1	4
NM_001298618.1	2
NM_001169377.1	3
NM_001272917.1	3
NM_078726.4	3
NM_164404.3	1
NM_001272925.1	4
NM_001272929.1	4
NM_001272939.2	1
NM_058073.5	4
NM_164445.4	2
NM_001272979.1	2
NM_001273029.1	4
NM_001273043.1	2
NM_079909.3	1
NM_205901.3	3
NM_001014464.2	2
NM_001369953.1	1
NM_001298668.1	3
NM_001273143.1	1
NM_001042873.2	3
NM_001298713.1	2
NM_001144327.2	1
NM_001298741.1	4
NM_135186.2	1
NM_135190.5	3
NM_001273214.1	3
NM_001144330.2	2
NM_057819.4	3
NM_001014476.2	1
NM_078775.3	2
NM_001273254.1	3
NM_135275.3	3
NM_001273271.1	2
NM_001014478.2	1
NM_164762.2	2
NM_164777.3	2
NM_135328.3	1
NM_001298807.1	1
NM_135348.3	1
NM_001169439.2	2
NM_057398.4	3
NM_001259014.2	2
NM_164833.2	2
NM_001298831.1	2
NM_135414.3	2
NM_001103659.3	2
NM_164842.2	2
NM_001273346.1	2
NM_164866.3	2
NM_001273365.1	2
NR_001641.1	4
NM_001273380.1	3
NM_001298873.1	3
NM_001201855.2	1
NM_001273425.3	2
NM_001273443.3	2
NM_080362.4	1
NM_135652.3	1
NM_205965.2	1
NM_135695.2	4
NM_001298934.1	4
NM_164988.4	3
NM_001298935.1	3
NM_001038812.2	3
NM_165013.4	3
NM_078835.3	3
NM_001259087.3	1
NM_001273516.1	2
NM_001298979.1	1
NM_001038817.1	4
NM_001169504.2	2
NM_001316397.1	2
NM_057254.4	2
NM_001299047.1	3
NM_057594.4	3
NM_205999.2	3
NM_165152.2	3
NM_001273574.1	3
NM_135990.3	2
NM_078865.4	1
NM_165217.3	3
NM_001273605.2	2
NM_001299115.1	2
NM_001201909.2	2
NM_136052.3	4
NM_001299157.1	2
NM_134292.3	4
NM_001299161.1	1
NM_001273688.2	2
NM_001169553.2	3
NM_001273716.1	2
NM_001273721.1	3
NM_001144373.2	1
NR_001679.1	4
NM_001169565.2	1
NM_165386.3	2
NM_001032217.3	4
NM_165394.3	4
NM_165395.2	4
NM_136337.3	3
NM_078902.3	1
NM_001316407.1	2
NM_165471.3	2
NM_001103730.2	1
NM_001273809.1	4
NM_001259225.2	2
NM_078907.3	4
NM_078908.3	2
NM_136420.4	3
NM_001273852.1	2
NM_001103740.3	3
NM_136466.4	3
NM_001299240.1	4
NM_078934.3	3
NM_001273871.2	2
NM_001144145.4	2
NM_057769.4	3
NR_048064.1	4
NM_165611.3	2
NM_001273879.2	4
NM_078937.4	2
NR_033156.2	4
NR_003786.1	4
NM_001299302.1	2
NM_165665.2	4
NM_001299319.1	2
NR_073861.2	4
NR_048069.1	4
NM_057600.6	3
NM_165717.3	1
NM_165735.4	3
NM_001347799.1	1
NM_165762.3	2
NM_001144167.1	2
NM_078959.5	4
NR_124504.1	4
NM_176141.3	4
NM_136754.5	1
NM_001273954.1	2
NM_134279.3	4
NM_057376.3	3
NM_136849.2	3
NM_001103805.2	2
NM_058027.5	4
NM_078986.3	4
NM_165878.2	2
NM_078989.3	4
NM_001299424.1	1
NR_037739.2	4
NM_001201986.2	2
NM_001274004.1	1
NM_079002.3	1
NM_176162.3	3
NM_166026.3	4
NM_080376.2	2
NM_001299472.1	4
NM_206109.2	3
NM_137096.3	3
NM_137112.2	2
NM_001316420.1	3
NR_003794.1	3
NM_143761.4	1
NM_137158.4	2
NM_001259401.2	2
NM_137189.3	4
NM_001299537.1	2
NM_137217.3	3
NM_001299543.1	1
NM_166145.2	4
NM_137247.3	2
NM_079037.4	2
NM_057733.4	3
NR_073882.2	4
NR_073883.2	4
NM_058087.5	2
NM_001274112.1	1
NM_137345.3	2
NM_137350.4	1
NM_176212.2	1
NM_001299609.1	3
NM_137428.3	2
NM_080214.4	4
NM_057319.5	4
NM_137480.4	3
NM_137481.4	2
NM_137484.4	4
NM_137485.4	3
NM_137486.5	3
NM_166280.2	4
NM_137495.3	1
NM_001299647.1	3
NM_001103899.2	2
NM_001043095.3	2
NM_001144237.2	2
NM_001144239.3	3
NM_001299678.1	2
NM_166342.2	2
NM_057700.4	1
NM_079073.3	1
NM_057466.2	1
NM_137622.3	4
NM_137630.4	2
NM_166421.2	2
NM_166431.4	3
NM_166466.3	3
NM_001169773.2	4
NM_166480.2	2
NM_001259528.2	3
NM_001014543.2	3
NM_057893.5	1
NM_166527.2	3
NR_124703.1	3
NM_057832.5	2
NM_166618.3	2
NM_001103967.2	2
NM_079109.3	2
NM_079111.3	4
NM_138060.3	4
NM_166666.2	1
NR_048199.1	1
NM_001299906.1	3
NM_001043104.3	2
NM_001169823.2	3
NM_079126.3	1
NM_138141.3	3
NM_136336.3	4
NM_165445.4	4
NM_165447.2	1
NM_078901.3	4
NM_001273789.1	3
NM_001169590.2	2
NM_165464.3	2
NM_165474.3	4
NM_057453.5	4
NM_136373.4	4
NM_001299217.1	2
NM_136391.4	3
NM_136398.4	3
NM_206033.2	1
NM_057957.5	3
NM_001273835.1	2
NM_058057.6	4
NM_001273844.1	3
NM_165539.2	4
NM_165541.2	4
NM_165542.3	2
NM_001273860.2	4
NM_001273861.2	2
NM_001273862.1	4
NM_001370032.1	4
NM_001370031.1	3
NM_165568.3	4
NM_001273868.2	4
NM_136621.4	2
NM_165658.2	1
NM_001299310.1	4
NM_001201966.2	2
NM_057845.5	1
NM_165674.3	2
NM_165675.3	3
NM_001259297.2	3
NM_206066.3	1
NM_001169632.2	2
NM_165723.4	3
NM_001144160.2	4
NM_001169641.2	2
NM_001169640.2	2
NM_080027.6	2
NM_176132.4	1
NM_176133.5	3
NM_001103792.3	1
NM_001273950.1	2
NM_136839.3	3
NM_001169647.3	4
NM_001103812.3	3
NM_165863.3	4
NM_001201983.2	4
NM_001169657.2	2
NM_165938.3	2
NM_001299440.1	2
NM_001299439.1	2
NM_001274011.2	3
NR_133117.1	4
NM_079998.4	2
NM_001259382.1	2
NM_001144188.2	2
NM_001144185.2	3
NM_001259386.2	3
NM_001299485.1	4
NM_001299486.1	1
NM_137111.3	3
NM_001299498.1	2
NM_001144200.2	1
NM_001299530.1	2
NM_145757.3	3
NM_001103863.3	3
NM_001299540.1	3
NM_001202023.2	2
NM_176183.3	2
NM_001259435.2	3
NM_079043.3	3
NM_001299597.1	2
NM_001043090.3	4
NM_137458.3	4
NM_001169720.2	3
NM_001103896.2	3
NM_001274146.2	2
NM_001169729.2	1
NM_079062.3	2
NM_001299662.1	3
NM_001202044.2	2
NM_137542.4	2
NM_166348.3	3
NM_079071.3	4
NR_002548.1	3
NM_137621.3	2
NM_001382024.1	4
NM_137649.3	2
NM_137700.4	3
NM_080070.4	1
NM_001259519.2	3
NM_001169776.2	3
NR_003825.1	4
NM_166525.2	2
NM_137817.3	4
NM_001274208.2	3
NM_166539.2	3
NM_001299814.1	1
NR_124728.1	2
NM_001202070.1	3
NM_001259571.2	2
NM_001259575.2	3
NM_001274247.2	2
NM_138139.4	3
NM_001299934.1	3
NM_138144.3	4
NM_166704.4	3
NM_001169829.3	2
NM_167790.3	3
NM_080382.4	1
NM_001169831.3	2
NM_206223.3	4
NM_001274269.1	1
NM_001382035.1	2
NM_138194.3	2
NR_048209.1	3
NR_073905.1	3
NR_048212.1	2
NM_001259608.2	2
NM_079152.4	3
NM_138238.3	2
NM_058044.5	4
NM_058045.4	4
NM_176271.2	4
NM_167872.2	3
NM_138259.3	4
NM_079159.3	2
NM_001274335.1	4
NM_001316470.1	2
NM_001202089.1	1
NM_139462.4	2
NM_001202098.2	3
NM_001259637.1	2
NM_001031933.3	4
NM_167950.2	3
NM_139468.2	3
NM_167984.3	1
NR_001933.1	4
NM_079175.4	4
NR_048218.2	4
NR_124769.1	4
NR_133165.1	3
NM_001202112.2	2
NM_079176.3	1
NM_139579.3	2
NM_139620.2	2
NM_139643.3	3
NM_001104036.3	2
NM_001259718.1	3
NM_001370048.1	3
NM_001259733.1	3
NM_001104074.3	2
NM_139977.3	4
NM_001014577.2	2
NM_079253.4	3
NM_168294.3	2
NM_079259.4	2
NM_168298.1	2
NM_168317.3	1
NM_168324.4	2
NM_140042.3	2
NM_079282.2	2
NM_168372.2	3
NR_133213.1	2
NM_001104104.3	2
NM_140155.4	2
NM_176316.2	2
NM_001104112.2	3
NM_140199.4	4
NM_001169963.2	2
NM_001043139.4	1
NM_001259820.2	4
NM_001274907.1	1
NM_079347.3	1
NM_001104136.2	2
NM_079350.5	2
NM_080018.2	1
NM_140511.4	1
NM_001274950.1	3
NM_079363.5	2
NR_001972.1	4
NM_001202192.2	1
NM_001259879.2	3
NM_168692.4	3
NM_170635.3	3
NM_001169985.1	3
NM_001104159.3	2
NM_001104160.3	2
NM_168705.2	3
NM_001300166.1	2
NM_001275069.1	1
NM_001169992.2	1
NM_080241.3	2
NM_001275088.1	1
NM_080483.3	4
NM_079447.4	2
NM_001259909.2	1
NM_140948.4	3
NM_140991.3	2
NR_167873.1	2
NM_168881.3	2
NM_206410.2	4
NM_168890.2	1
NM_001259930.2	1
NM_168892.3	2
NM_001259937.2	1
NM_001170022.3	2
NM_141117.2	2
NM_168948.5	2
NM_141155.4	1
NM_001259958.2	2
NM_168979.4	3
NM_001258466.1	4
NR_163234.1	4
NM_001370043.1	3
NM_001043111.3	3
NM_001274283.2	3
NM_079150.4	2
NM_138196.3	3
NM_138198.4	3
NM_138199.3	1
NM_001274291.1	2
NR_003848.1	3
NM_001299965.1	3
NM_167849.2	2
NM_001274313.1	1
NM_001299968.1	3
NM_138269.3	2
NM_001274348.1	3
NM_139427.4	1
NM_001043113.2	1
NM_001299983.1	2
NM_001259635.2	1
NM_079167.5	3
NM_001259654.2	3
NM_139508.3	2
NM_079178.3	3
NR_003121.1	4
NM_001274454.1	4
NM_139583.4	2
NM_080091.4	1
NM_001169871.1	3
NM_139603.3	3
NM_001274480.1	4
NM_001104031.2	2
NM_001274510.1	3
NM_001274511.1	2
NM_001014565.2	3
NM_168145.3	2
NM_057269.3	3
NM_001274545.2	3
NM_057632.4	2
NM_139850.4	2
NM_001259731.3	3
NM_168232.3	2
NM_168267.2	1
NM_001144446.2	1
NM_001274689.1	3
NM_079273.3	4
NM_001300071.1	4
NM_001259766.2	3
NM_140053.2	2
NM_170632.2	2
NM_001274705.1	2
NM_001300081.1	1
NM_168382.2	3
NM_168417.2	3
NM_001274758.2	2
NM_140172.2	2
NM_001014581.3	4
NM_140194.2	3
NM_168461.2	3
NM_001274788.1	3
NM_001274807.1	1
NM_137449.3	1
NM_001274827.1	2
NM_168499.2	3
NM_001274885.1	2
NM_001144478.4	3
NM_001274913.1	3
NM_001274924.1	4
NM_001032401.1	2
NM_001274931.1	1
NM_079355.3	4
NM_140544.2	1
NM_001274988.1	3
NM_079383.3	2
NM_001104153.3	3
NM_140652.4	2
NM_079394.3	1
NM_001275037.2	3
NM_001259875.2	4
NM_176339.2	4
NM_170636.2	1
NM_168741.2	1
NM_001259887.2	2
NM_001259888.3	4
NM_079406.3	3
NM_140767.2	2
NM_168757.1	3
NM_079412.4	2
NM_079414.3	3
NM_001259895.2	3
NM_001169994.2	3
NM_140810.4	2
NM_140812.3	3
NM_140825.3	3
NM_001275100.1	2
NM_001275103.1	3
NM_001275109.1	1
NM_001202203.1	1
NM_140882.3	2
NM_079441.4	2
NM_001007095.3	3
NM_001144512.3	3
NR_073957.1	1
NM_168859.2	4
NM_140987.3	1
NM_079467.3	1
NM_001014599.2	3
NM_001275262.1	4
NM_079491.3	3
NM_001275297.1	4
NM_001259970.2	3
NM_164315.4	3
NM_001043192.3	3
NM_141190.3	3
NM_001144530.2	1
NM_164345.3	2
NM_169014.3	1
NM_141248.4	4
NM_141268.3	3
NM_169060.2	2
NM_057424.4	4
NM_169192.3	2
NM_079549.3	4
NM_169221.3	2
NM_169231.2	3
NM_001260062.2	4
NR_125120.1	1
NM_001275471.1	2
NM_001275472.1	3
NM_001031990.4	3
NM_001043227.2	2
NM_001202273.2	1
NM_001202271.2	2
NM_001144557.2	1
NM_001144559.2	3
NR_125127.1	4
NR_048359.2	3
NM_143815.4	3
NM_169337.2	3
NM_079578.3	3
NM_001260095.2	3
NM_001260106.2	1
NM_001144563.2	1
NM_079587.3	2
NM_144369.3	1
NM_001104277.2	2
NM_169377.2	4
NM_141829.3	3
NM_001043241.3	3
NM_141885.3	4
NM_176479.2	1
NM_141946.3	4
NM_001275602.1	1
NM_169504.3	3
NM_169510.3	3
NM_001104305.3	2
NM_001316497.1	2
NM_001260168.1	1
NM_001104323.3	3
NM_079632.6	4
NM_001275657.1	4
NM_169626.2	4
NM_176504.2	1
NM_142224.2	4
NM_142237.3	1
NM_169693.2	4
NM_169697.3	3
NM_001260203.1	2
NM_079654.3	2
NR_125181.1	3
NM_169709.2	2
NM_142327.3	3
NM_001014629.2	3
NM_001275760.1	1
NM_001275780.1	2
NM_169823.2	4
NM_142504.4	4
NM_001104363.2	4
NM_169841.2	3
NM_079679.3	1
NM_001043257.2	2
NM_001043262.2	2
NM_142585.3	1
NM_001260274.2	3
NM_169902.2	3
NM_001275851.1	3
NM_142663.4	3
NM_142672.3	1
NM_169937.3	2
NM_001275868.1	4
NM_169948.3	3
NM_169950.3	1
NR_002067.3	4
NM_169992.3	2
NM_001260304.2	2
NM_170004.2	3
NM_001202337.2	1
NM_142825.4	3
NM_001202341.1	3
NM_170087.2	4
NM_001260338.2	3
NM_170120.2	4
NM_001275979.1	3
NM_001260358.2	2
NM_001043290.2	1
NM_143995.4	2
NM_001260374.2	2
NM_079785.4	4
NM_170259.4	3
NM_143213.4	1
NM_143224.4	1
NM_170287.3	1
NM_079795.3	3
NM_079798.3	4
NM_001104469.3	2
NM_001276074.1	2
NM_143286.3	2
NM_143344.3	3
NM_170370.2	2
NM_170373.2	3
NM_001144646.2	4
