gene	unassigned	nucleosome	unbound	PIC	PIC.polII	polII
NM_001014454.2	3.91809908998989	44.4135490394338	43.6889113582744	5.94876980114594	0	2.03067071115605
NM_001014476.2	1.17566643882433	59.3438140806562	13.984962406015	0.526315789473684	0.526315789473684	24.4429254955571
NM_001014478.2	2.72727272727273	68.382126348228	13.0816640986133	0	0	15.808936825886
NM_001014543.2	5.59782608695652	26.9021739130435	2.8804347826087	16.9021739130435	43.125	4.59239130434783
NM_001014565.2	3.65569956796278	53.8551013625789	34.4632768361582	0.980392156862745	0	7.04553007643736
NM_001014577.2	0	60.6481481481481	25.6944444444444	0	0	13.6574074074074
NM_001014643.2	5.18482699333763	46.6365785514722	31.5334192993767	1.56888029228455	1.54201590371803	13.5342789598109
NM_001014678.3	3.27702702702703	22.7871621621622	33.6148648648649	0.675675675675676	0	39.6452702702703
NM_001031933.3	8.52480852480852	26.7787767787768	12.981462981463	24.3867243867244	23.5708735708736	3.75735375735376
NM_001031990.4	7.13333333333333	43.4	33.9333333333333	4.06666666666667	0.4	11.0666666666667
NM_001032217.3	5.66749110212946	32.1258370030765	21.5961874886891	10.7980937443446	10.9428726548833	18.869518006877
NM_001032403.2	2.67482517482518	19.4755244755245	62.2086247086247	3.43822843822844	0.757575757575758	11.4452214452214
NM_001032408.3	2.87458379578246	48.0355160932297	31.4206437291898	0.769515353311136	2.11246762856086	14.787273399926
NM_001038776.3	0.337837837837838	55.8731808731809	33.3809771309771	1.15644490644491	0.337837837837838	8.91372141372141
NM_001038812.2	1.55168297923132	58.6655526378611	39.7827643829076	0	0	0
NM_001038817.1	2.47159090909091	18.3238636363636	51.7613636363636	4.16193181818182	0	23.28125
NM_001042873.2	38.9880952380952	12.6984126984127	48.3134920634921	0	0	0
NM_001042881.5	6.34453781512605	16.2605042016807	18.4663865546218	4.01260504201681	11.5336134453782	43.3823529411765
NM_001042906.2	5.7608100711549	74.3021346469622	11.5216201423098	5.03557744937055	1.72413793103448	1.65571975916804
NM_001043113.2	2.63157894736842	59.6491228070175	24.5614035087719	0.87719298245614	0	12.280701754386
NM_001043139.4	3.56994603569946	30.5105853051058	38.3354088833541	1.44250726442507	4.25487754254878	21.8866749688667
NM_001043192.3	1.57358156028369	47.8501773049645	32.6241134751773	4.23315602836879	3.71232269503546	10.0066489361702
NM_001043241.3	1.78571428571429	30.5851063829787	44.870820668693	1.06382978723404	0	21.6945288753799
NM_001043290.2	2.1999043519847	64.5384983261597	16.3916786226686	4.28024868483979	1.59014825442372	10.9995217599235
NM_001103740.3	0	40.0454545454545	32.1818181818182	0	1	26.7727272727273
NM_001103863.3	4.67160709096193	89.7195582679454	3.925094449288	0.225225225225225	0.830063934902645	0.628451031676838
NM_001103899.2	6.0974025974026	33.1818181818182	48.6753246753247	0.5	0.5	11.0454545454545
NM_001103967.2	4.61317135549872	53.2608695652174	31.2947570332481	0.802429667519182	0.434782608695652	9.59398976982097
NM_001104104.3	3.36728919071873	71.3780418788908	22.6230899830221	0.87719298245614	0	1.75438596491228
NM_001104153.3	2.36756168359942	39.0511611030479	40.9470246734398	1.91400580551524	0.961538461538462	14.7587082728592
NM_001104159.3	3.52499542208387	58.9971311725569	28.1023011658426	3.53109931026064	0.775193798449612	5.06927913080632
NM_001104160.3	0.854700854700855	42.8957892260645	42.9271543950443	4.88904571473379	1.34478162001098	7.08852818944562
NM_001104235.2	0.543478260869565	71.6538789428815	21.7071611253197	0.543478260869565	0.543478260869565	5.00852514919011
NM_001104277.2	5.35509736540664	56.6036655211913	9.59908361970218	10.9106529209622	5.79037800687285	11.7411225658648
NM_001104305.3	0.714285714285714	68.9227166276347	17.4824355971897	1.42857142857143	0.714285714285714	10.7377049180328
NM_001104323.3	1.71714244312418	50.3912476452688	28.9668164034198	1.49253731343284	1.45631067961165	15.9759455151427
NM_001104363.2	5.27408637873754	35.2021040974529	46.5808416389812	0.581395348837209	0	12.3615725359911
NM_001104456.2	2.4314765694076	43.1255526083112	51.5030946065429	0	0	2.93987621573828
NM_001104469.3	1.42857142857143	50.8928571428571	31.0714285714286	0.416666666666667	0.416666666666667	15.7738095238095
NM_001104472.2	2.25177304964539	47.4024822695036	31.9148936170213	0.354609929078014	0.771276595744681	17.3049645390071
NM_001144145.4	1.6504329004329	63.474025974026	13.6904761904762	0	0	21.1850649350649
NM_001144167.1	1.08695652173913	61.2972202423378	36.5288667141839	0	1.08695652173913	0
NM_001144188.2	2.35294117647059	53.1031543052003	30.2387041773231	1.31287297527707	0.72463768115942	12.2676896845695
NM_001144237.2	4.58715596330275	47.2477064220184	26.1467889908257	0	0.458715596330275	21.5596330275229
