gene	unassigned	nucleosome	unbound	PIC	PIC.polII	polII
NM_001001880.2	0	14.8965517241379	81.6551724137931	1.72413793103448	0	1.72413793103448
NM_001003919.1	5.29122231337162	7.83429040196883	73.6054142739951	1.08695652173913	0.943396226415094	11.2387202625103
NM_001004140.2	0.847457627118644	84.4941737288136	11.4009533898305	0	0	3.25741525423729
NM_001004191.3	0	25.7603131586871	71.996386630533	2.24330021077989	0	0
NM_001007567.2	0	13.7089201877934	77.433489827856	3.22378716744914	0	5.63380281690141
NM_001007571.2	6.32558139534884	11.2635658914729	72.6511627906977	9.37209302325581	0	0.387596899224806
NM_001009935.2	2.66139657444005	29.4532279314888	16.0276679841897	44.7167325428195	6.1133069828722	1.02766798418972
NM_001012273.1	0	4.08163265306122	87.8571428571429	1.02040816326531	0	7.04081632653061
NM_001012309.2	3.68551976957319	28.299293008641	65.6454569258968	0	0	2.36973029588898
NM_001024526.2	0	15.1315789473684	78.0701754385965	4.16666666666667	0	2.63157894736842
NM_001024910.3	0	7.14285714285714	85.0707850707851	6.43500643500644	1.35135135135135	0
NM_001025392.1	1.21951219512195	12.6558265582656	76.9105691056911	0	0	9.21409214092141
NM_001033170.4	5.21390374331551	65.5080213903743	25.5347593582888	1.47058823529412	0	2.27272727272727
NM_001033336.3	0	60.7142857142857	38.0952380952381	0	0	1.19047619047619
NM_001033352.3	1.5625	20.4769736842105	62.5	9.70394736842105	1.5625	4.19407894736842
NM_001033355.3	3.94844517184943	67.2872340425532	28.7643207855974	0	0	0
NM_001033908.1	0	27.6261737089202	70.6279342723005	1.04166666666667	0.704225352112676	0
NM_001034862.2	5.63180120188403	9.29835959070976	85.0698392074062	0	0	0
NM_001037725.3	2	15.3529411764706	77.6470588235294	5	0	0
NM_001037726.1	0	8.20271682340648	90.073145245559	0	0	1.72413793103448
NM_001037878.3	3.03030303030303	20.8470244614823	50.4563709382986	22.6542533771449	1.80722891566265	1.20481927710843
NM_001038608.2	3.125	33.6805555555556	60.0694444444444	0	0	3.125
NM_001039084.1	3.08441558441558	33.6038961038961	48.1331168831169	9.41558441558442	3.97727272727273	1.78571428571429
NM_001039129.4	4.08119658119658	30.0498575498575	47.6923076923077	8.7037037037037	2.07977207977208	7.39316239316239
NM_001039392.2	3.30284552845528	79.4715447154472	14.9644308943089	0	0	2.26117886178862
NM_001039483.1	7.92207792207792	28.8311688311688	61.8181818181818	0	0	1.42857142857143
NM_001039514.1	9.05797101449275	40.5495169082126	49.6678743961353	0	0.72463768115942	0
NM_001039519.2	1.97368421052632	10.7948442534909	81.5386680988185	2.69871106337272	1.31578947368421	1.67830290010741
NM_001039521.1	1.21951219512195	36.3039399624765	58.1144465290807	0	1.92307692307692	2.4390243902439
NM_001039551.1	0	31.2554489973845	62.8160418482999	5.92850915431561	0	0
NM_001039824.2	8.2711038961039	19.6915584415584	70.137987012987	1.25	0	0.649350649350649
NM_001039965.1	4.76190476190476	70.6349206349206	23.015873015873	0.793650793650794	0.793650793650794	0
NM_001040396.2	11.4543466375068	58.529250956807	30.0164024056862	0	0	0
NM_001042408.1	3.125	33.6805555555556	60.0694444444444	0	0	3.125
NM_001042484.1	16.5702101736217	5.10204081632653	58.2241851964666	19.3572951568687	0.746268656716418	0
NM_001047159.2	1.85185185185185	12.7777777777778	73.8888888888889	3.7037037037037	0	7.77777777777778
NM_001048061.1	2.08333333333333	71.3717228464419	6.93469101123596	7.13951310861423	8.57911985018727	3.89161985018727
NM_001048148.1	0	10.7142857142857	89.2857142857143	0	0	0
NM_001048192.2	5.94779632006846	50.5134788189987	34.9593495934959	8.57937526743688	0	0
NM_001077636.1	4.03225806451613	37.0967741935484	58.0645161290323	0.403225806451613	0	0.403225806451613
NM_001079908.2	6.52173913043478	18.0602006688963	71.0702341137124	2.17391304347826	0	2.17391304347826
NM_001080999.2	0.961538461538462	10.0961538461538	87.0192307692308	0	0	1.92307692307692
NM_001081001.2	18.9393939393939	48.4848484848485	32.5757575757576	0	0	0
NM_001081176.1	2.13260135135135	9.31165540540541	83.2981418918919	5.25760135135135	0	0
NM_001081188.1	9.73389355742297	32.4929971988796	56.3025210084034	1.47058823529412	0	0
NM_001081213.1	1.92307692307692	38.3547008547009	55.0213675213675	0	0	4.7008547008547
NM_001081240.3	17.5890410958904	61.4520547945205	20.958904109589	0	0	0
NM_001081259.1	1.38888888888889	0	97.2222222222222	1.38888888888889	0	0
NM_001081282.2	6.63265306122449	63.7755102040816	28.4013605442177	0	0	1.19047619047619
NM_001081429.1	3.6144578313253	37.4698795180723	54.6987951807229	0.602409638554217	0	3.6144578313253
NM_001081475.1	0	56.5441176470588	23.6519607843137	8.92156862745098	0	10.8823529411765
NM_001082548.1	6.60569105691057	62.9878048780488	23.0284552845528	1.21951219512195	4.10569105691057	2.05284552845528
NM_001083331.2	21.9155844155844	8.76623376623377	69.3181818181818	0	0	0
NM_001083922.1	0.480769230769231	13.5674706649283	72.2131681877445	13.3148631029987	0	0.423728813559322
NM_001102565.1	2.38095238095238	32.6839826839827	63.7987012987013	1.13636363636364	0	0
NM_001109745.1	2.77777777777778	3.84615384615385	75.3739316239316	15.4380341880342	0	2.56410256410256
NM_001109913.1	2.38095238095238	17.1897546897547	32.3773448773449	46.9516594516595	0	1.1002886002886
NM_001110499.1	3.03030303030303	15.4401154401154	76.1544011544012	4.61760461760462	0	0.757575757575758
NM_001113350.2	2.09441489361702	44.2154255319149	48.9583333333333	1.5625	3.16932624113475	0
NM_001113564.1	8.02469135802469	30.8641975308642	57.4074074074074	1.85185185185185	0	1.85185185185185
NM_001114085.1	0	36.4285714285714	63.5714285714286	0	0	0
NM_001114119.1	0	71.4015151515152	17.8030303030303	2.08333333333333	0	8.71212121212121
NM_001115085.1	1.19047619047619	11.7109634551495	62.4031007751938	24.6954595791805	0	0
NM_001122873.1	0	40.5654761904762	54.8809523809524	1.42857142857143	0	3.125
NM_001127233.1	9.6030096030096	27.3042273042273	53.6432036432036	3.999603999604	1.35135135135135	4.0986040986041
NM_001129787.1	0	23.4090909090909	64.7727272727273	4.54545454545455	0	7.27272727272727
NM_001130408.1	0.657894736842105	85.4385964912281	11.9298245614035	0	0	1.97368421052632
NM_001130457.1	2.47870409160732	13.2296466973886	75.8413629381371	2.29192850160592	0.649350649350649	5.50900712191035
NM_001130484.1	3.89805097451274	21.2143928035982	72.7136431784108	0	0	2.17391304347826
NM_001130485.1	3.89805097451274	21.2143928035982	72.7136431784108	0	0	2.17391304347826
NM_001134692.2	0	7.73809523809524	92.2619047619048	0	0	0
