gene	cluster
NR_033199.1	1
NM_001172205.1	4
NM_001039551.1	2
NM_028546.1	1
NM_025824.3	1
NM_008057.3	1
NM_018868.2	2
NM_001037725.3	1
NM_001037726.1	1
NR_040308.1	2
NR_015507.2	1
NM_008972.2	1
NM_023755.2	2
NM_001172074.1	2
NM_007923.2	1
NM_028057.2	3
NM_028320.4	4
NM_152895.2	1
NM_001278115.1	2
NM_026500.3	4
NR_106194.1	2
NM_008131.4	2
NM_001160181.1	1
NM_001136104.1	1
NR_002840.2	2
NR_028543.1	3
NM_001039483.1	1
NM_020579.2	2
NM_153555.2	1
NM_178598.2	1
NM_001177658.1	1
NR_024067.2	2
NM_011291.5	2
NM_001271016.1	2
NM_026456.4	1
NM_008922.2	1
NM_001033135.3	1
NM_029368.1	1
NM_001310548.1	2
NM_001081081.2	2
NM_031179.2	1
NR_037999.1	2
NM_001042634.2	2
NM_009460.2	1
NR_038009.1	2
NM_001276408.1	2
NM_001313723.1	1
NM_010880.3	2
NM_198652.2	1
NM_019479.3	1
NR_027901.1	2
NM_001037999.2	2
NM_007830.4	2
NM_007570.2	1
NM_001042485.1	4
NM_007842.2	1
NM_009721.6	1
NM_001001880.2	1
NM_153064.5	4
NM_133815.2	1
NM_007853.4	2
NM_198653.2	1
NM_001081259.1	2
NM_001252560.1	1
NM_026044.3	4
NM_025980.2	1
NM_173180.3	1
NM_013721.3	2
NM_023871.4	2
NM_146252.2	2
NM_198304.2	1
NM_138748.5	4
NM_133673.3	1
NM_009076.3	2
NM_001163434.1	2
NM_001033960.1	1
NM_028809.1	2
NM_001303033.1	4
NM_027352.4	4
NR_027831.1	2
NM_011699.3	1
NM_133749.2	1
NM_016907.3	2
NM_001290808.1	4
NM_001290811.1	1
NM_001290824.1	4
NM_007952.2	1
NM_026678.4	3
NM_028248.2	3
NM_001159593.1	1
NM_024193.2	2
NM_153501.2	1
NM_001289630.1	2
NM_011917.2	1
NM_009328.2	4
NM_024196.3	4
NM_001129999.1	1
NM_026499.4	2
NM_172150.4	2
NM_008652.2	2
NM_029512.2	1
NM_021420.3	1
NM_178375.2	2
NM_008679.3	1
NM_023565.3	2
NR_028540.1	3
NM_001083328.1	4
NM_025587.2	2
NR_037274.1	1
NM_001177707.1	2
NM_001048148.1	4
NM_021305.3	1
NM_146116.2	2
NM_001085407.1	1
NR_024068.2	2
NM_001033908.1	2
NM_177648.3	2
NM_030244.3	2
NM_144884.2	4
NM_001164770.1	1
NM_080554.2	4
NM_001100591.1	1
NM_025592.3	2
NM_001290649.1	3
NM_001018042.3	2
NM_001301721.1	2
NM_001033166.3	1
NM_183106.2	1
NM_153126.2	3
NM_026519.3	1
NM_001163701.1	2
NM_011743.2	1
NM_025657.3	4
NM_001159612.1	4
NM_001290819.1	1
NM_153075.3	2
NM_145531.2	4
NM_001271467.1	1
NM_001164325.1	4
NM_144818.3	2
NM_001141971.1	3
NM_011045.2	2
NM_024225.5	2
NM_001199188.1	2
NM_024465.3	1
NM_207204.2	1
NM_170588.3	2
NM_025996.5	2
NM_011521.2	2
NM_133240.2	1
NM_001033196.2	1
NM_001165991.1	2
NM_026517.2	1
NM_001290500.1	4
NM_011443.4	2
NM_053089.3	2
NM_016858.2	3
NM_001040396.2	1
NM_178246.3	1
NM_001309909.1	3
NR_045749.1	2
NM_001293741.1	2
NM_030116.2	2
NM_008562.3	2
NR_040446.1	4
NM_178213.4	2
NM_178214.4	1
NM_178215.2	1
NM_175666.2	2
NM_001009935.2	1
NM_001161854.2	2
NM_026602.3	4
NM_009196.4	1
NM_027432.3	2
NM_001025582.2	2
NM_025444.2	1
NM_145543.2	1
NM_001177771.1	1
NM_001177770.1	1
NM_027927.4	1
NM_001316995.1	2
NM_001033155.1	3
NM_145546.1	1
NM_057172.3	2
NM_001287139.1	1
NM_025434.3	4
NM_009828.2	1
NM_001291062.1	4
NM_019937.3	1
NM_008467.4	2
NM_144898.2	2
NM_001282032.1	3
NM_027015.4	1
NM_029885.1	1
NM_027541.4	1
NM_001316751.1	1
NM_175662.2	1
NM_033596.3	1
NM_144900.2	1
NM_010306.3	2
NM_025845.2	1
NM_001038696.1	1
NM_008246.2	4
NR_028574.1	2
NR_028573.1	1
NM_001287581.1	2
NM_026231.2	1
NM_027287.4	1
NM_031870.3	3
NM_001163478.1	2
NM_001199105.1	2
NM_001256145.1	4
NM_199467.2	2
