gene,q,turnover_half_life_[min],turnover_time_[min],initation_time_[min],ratio
NM_001001880.2,0.0202593192868719,4.8027982460736,3.32904606306416,232.26332318012,48.3600000000001
NM_001003919.1,0.132176234979974,4.8027982460736,3.32904606306416,31.5335238378568,6.56565656565654
NM_001004140.2,0.21007685738685,4.8027982460736,3.32904606306416,18.0593023480409,3.760162601626
NM_001004191.3,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001007567.2,0.0652883569096844,3.95551610979111,2.74175483916115,56.6298056385094,14.3166666666667
NM_001007571.2,0.00436795666986983,4.8027982460736,3.32904606306416,1094.74983221002,227.94
NM_001009935.2,0.101223270146606,4.8027982460736,3.32904606306416,42.6447722495004,8.87915129151292
NM_001012273.1,0.0734042553191489,3.95551610979111,2.74175483916115,49.9312250960588,12.6231884057971
NM_001012309.2,0.033050305852278,4.8027982460736,3.32904606306416,140.515017193827,29.256906077348
NM_001024526.2,0.0310077519379845,3.95551610979111,2.74175483916115,123.609878430972,31.25
NM_001024910.3,0.0145530145530145,4.8027982460736,3.32904606306416,325.218052662698,67.7142857142858
NM_001025392.1,0.105491777846727,3.95551610979111,2.74175483916115,33.5404498368464,8.47941176470588
NM_001033170.4,0.0658914728682169,8.65616258299648,5.9999946888725,122.713834264833,14.1764705882353
NM_001033336.3,0.0303030303030303,4.8027982460736,3.32904606306416,153.689543874355,32
NM_001033352.3,0.0723888314374353,4.8027982460736,3.32904606306416,61.5444289532574,12.8142857142857
NM_001033355.3,0,8.65616258299648,5.9999946888725,Inf,Inf
NM_001033908.1,0.00973038718832353,3.95551610979111,2.74175483916115,402.556170756866,101.770833333333
NM_001034862.2,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001037725.3,0,4.8027982460736,3.32904606306416,Inf,Inf
NM_001037726.1,0.018782014797951,4.8027982460736,3.32904606306416,250.909823522148,52.2424242424243
NM_001037878.3,0.0380535055350553,4.8027982460736,3.32904606306416,121.408918087109,25.2787878787879
NM_001038608.2,0.0471204188481676,4.8027982460736,3.32904606306416,97.1232534205993,20.2222222222222
NM_001039084.1,0.08679706601467,4.8027982460736,3.32904606306416,50.5308491523517,10.5211267605634
NM_001039129.4,0.135424091233072,3.95551610979111,2.74175483916115,25.2528475851401,6.3842105263158
NM_001039392.2,0.110148514851485,4.8027982460736,3.32904606306416,38.8001341452461,8.07865168539323
NM_001039483.1,0.0200729927007299,4.8027982460736,3.32904606306416,234.463878012865,48.8181818181818
NM_001039514.1,0.0121889283900457,8.65616258299648,5.9999946888725,701.509842663673,81.0416666666667
NM_001039519.2,0.0335641180012041,4.8027982460736,3.32904606306416,138.290437390307,28.7937219730942
NM_001039521.1,0.068483063328424,4.8027982460736,3.32904606306416,65.3283847449797,13.6021505376344
NM_001039551.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001039824.2,0.0080857085102082,16.1150864699387,11.1701267511177,1976.91823269973,122.675
NM_001039965.1,0.027027027027027,4.8027982460736,3.32904606306416,172.90073685865,36
NM_001040396.2,0,4.8027982460736,3.32904606306416,Inf,Inf
NM_001042408.1,0.0471204188481676,4.8027982460736,3.32904606306416,97.1232534205993,20.2222222222222
NM_001042484.1,0.00786390627507623,3.95551610979111,2.74175483916115,499.040828382217,126.163265306122
NM_001047159.2,0.0891719745222931,8.65616258299648,5.9999946888725,88.4165178120354,10.2142857142857
NM_001048061.1,0.435609157808667,4.8027982460736,3.32904606306416,6.22267759615637,1.29563585171281
NM_001048148.1,0,8.65616258299648,5.9999946888725,Inf,Inf
NM_001048192.2,0,8.65616258299648,5.9999946888725,Inf,Inf
NM_001077636.1,0.00641025641025641,4.8027982460736,3.32904606306416,744.433728141407,155
NM_001079908.2,0.0265306122448979,4.8027982460736,3.32904606306416,176.225751029008,36.6923076923077
NM_001081001.2,0,4.8027982460736,3.32904606306416,Inf,Inf
NM_001081176.1,0,4.8027982460736,3.32904606306416,Inf,Inf
NM_001081188.1,0,8.65616258299648,5.9999946888725,Inf,Inf
NM_001081213.1,0.0762564991334489,4.8027982460736,3.32904606306416,58.179351480846,12.1136363636364
NM_001081240.3,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001081259.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001081282.2,0.0328638497652582,4.8027982460736,3.32904606306416,141.339491241595,29.4285714285715
NM_001081429.1,0.0578034682080925,3.95551610979111,2.74175483916115,64.4749125895951,16.3
NM_001081475.1,0.250423011844332,3.95551610979111,2.74175483916115,11.839821869172,2.99324324324323
NM_001082548.1,0.166392092257002,3.95551610979111,2.74175483916115,19.8167440747951,5.00990099009901
NM_001083922.1,0.00490242292825493,8.65616258299648,5.9999946888725,1757.03453968323,202.980769230769
NM_001102565.1,0,4.8027982460736,3.32904606306416,Inf,Inf
NM_001109745.1,0.0266666666666666,3.95551610979111,2.74175483916115,144.376338007376,36.5000000000001
NM_001110499.1,0.00895904436860069,4.8027982460736,3.32904606306416,531.280967887093,110.619047619048
NM_001113350.2,0.056813667063965,4.8027982460736,3.32904606306416,79.7331680851659,16.6013986013986
NM_001113564.1,0.0267857142857143,4.8027982460736,3.32904606306416,174.501669607341,36.3333333333334
NM_001114085.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001114119.1,0.304635761589404,3.95551610979111,2.74175483916115,9.02889546800143,2.28260869565217
NM_001115085.1,0,8.65616258299648,5.9999946888725,Inf,Inf
NM_001122873.1,0.0525788683024537,3.95551610979111,2.74175483916115,71.274633140236,18.0190476190476
NM_001127233.1,0.0749693585727904,3.95551610979111,2.74175483916115,48.8062546335261,12.338782924614
NM_001129787.1,0.0949554896142433,4.8027982460736,3.32904606306416,45.776670782889,9.53125000000001
NM_001130408.1,0.135542168674699,3.95551610979111,2.74175483916115,25.2274027446676,6.37777777777775
NM_001130457.1,0.0709730632279869,4.8027982460736,3.32904606306416,62.8679211456703,13.0898526077097
NM_001130484.1,0.027592768791627,4.8027982460736,3.32904606306416,169.257234740939,35.2413793103448
NM_001130485.1,0.027592768791627,4.8027982460736,3.32904606306416,169.257234740939,35.2413793103448
NM_001134692.2,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001134767.1,0.032258064516129,8.65616258299648,5.9999946888725,259.684877489894,30
NM_001141971.1,0.115653040877368,16.1150864699387,11.1701267511177,123.224842231342,7.64655172413794
NM_001142937.2,0,4.8027982460736,3.32904606306416,Inf,Inf
NM_001146153.1,0,8.65616258299648,5.9999946888725,Inf,Inf
NM_001146308.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001159375.1,0.0631594590578095,4.8027982460736,3.32904606306416,71.2396238664657,14.8329411764706
NM_001159593.1,0.158333333333333,4.8027982460736,3.32904606306416,25.530664360707,5.31578947368421
NM_001160181.1,0.0125186289120716,4.8027982460736,3.32904606306416,378.849299743852,78.8809523809523
NM_001160214.1,0.251227130745203,8.65616258299648,5.9999946888725,25.7993620146858,2.98046181172291
NM_001160239.2,0.0389011682980739,3.95551610979111,2.74175483916115,97.7256488229072,24.7061688311688
NM_001161419.1,0.0174566473988439,3.95551610979111,2.74175483916115,222.63530739811,56.2847682119205
NM_001161854.2,0.134615384615385,3.95551610979111,2.74175483916115,25.4283178486572,6.42857142857143
NM_001163447.1,0.0191341321994588,8.65616258299648,5.9999946888725,443.737627360679,51.2626262626264
NM_001163701.1,0.0198783646807072,3.95551610979111,2.74175483916115,195.030475611656,49.3059490084987
NM_001164237.1,0.0841068917018283,3.95551610979111,2.74175483916115,43.0741152290297,10.8896321070234
NM_001164581.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001164600.1,0.00798908807482463,8.65616258299648,5.9999946888725,1074.84204170817,124.170731707317
NM_001164625.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001164770.1,0.0426929392446633,4.8027982460736,3.32904606306416,107.693514517727,22.423076923077
NM_001166406.1,0.0757800891530461,3.95551610979111,2.74175483916115,48.24178471157,12.1960784313725
NM_001166428.1,0.170701093778016,8.65616258299648,5.9999946888725,42.053310868024,4.85819327731094
NM_001166482.1,0.0427751695357328,3.95551610979111,2.74175483916115,88.516732456911,22.3780487804878
NM_001167910.1,0.00850125944584383,4.8027982460736,3.32904606306416,560.148580625398,116.62962962963
NM_001167939.1,0.0169440605660037,8.65616258299648,5.9999946888725,502.210907873778,58.017730496454
NM_001168672.1,0.147770700636943,3.95551610979111,2.74175483916115,22.812416184916,5.76724137931035
NM_001170953.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001170981.1,0.0369751908396947,3.95551610979111,2.74175483916115,103.022055065979,26.0451612903226
NM_001172074.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001172205.1,0.242081904377648,8.65616258299648,5.9999946888725,27.1010023535981,3.13083333333333
NM_001177621.1,0.0115473441108545,4.8027982460736,3.32904606306416,411.1195298639,85.6000000000001
NM_001177658.1,0.0315934065934066,4.8027982460736,3.32904606306416,147.216207107908,30.6521739130435
NM_001177707.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001190436.1,0.0176386461147306,3.95551610979111,2.74175483916115,220.297302619178,55.6936936936938
NM_001190474.1,0.0245183887915937,16.1150864699387,11.1701267511177,641.150225982561,39.7857142857143
NM_001199105.1,0.04407884525842,3.95551610979111,2.74175483916115,85.7817736626882,21.6866197183099
NM_001199188.1,0.177464788732394,3.95551610979111,2.74175483916115,18.3335032390318,4.63492063492064
NM_001199431.1,0.936699857752489,3.95551610979111,2.74175483916115,0.26730518889249,0.067577828397874
NM_001199484.1,0.438388625592416,3.95551610979111,2.74175483916115,5.06733685416485,1.28108108108109
NM_001199485.1,0.0869565217391304,3.95551610979111,2.74175483916115,41.5329191528067,10.5
NM_001243584.1,0.036490156143924,4.8027982460736,3.32904606306416,126.816212292836,26.4046511627907
NM_001252494.1,0.00311621326360657,4.8027982460736,3.32904606306416,1536.42619983445,319.902298850575
NM_001252625.1,0.0126931567328918,3.95551610979111,2.74175483916115,307.670361757231,77.7826086956524
NM_001253681.1,0.0199449793672628,4.8027982460736,3.32904606306416,235.999568988098,49.1379310344826
NM_001253705.1,0.138068181818182,4.8027982460736,3.32904606306416,29.9829009847475,6.24279835390946
NM_001253877.1,0.0939727802981206,8.65616258299648,5.9999946888725,83.4573468346832,9.64137931034482
NM_001254951.1,0,3.95551610979111,2.74175483916115,Inf,Inf
NM_001271567.1,0.0664449660928534,3.95551610979111,2.74175483916115,55.5751954306962,14.0500490677135
NM_001276704.1,0.14209726443769,4.8027982460736,3.32904606306416,28.9965733680059,6.03743315508022
NM_001278207.1,0.0528169014084507,4.8027982460736,3.32904606306416,86.1301818795864,17.9333333333333
NM_001281974.1,0.0177471037712596,3.95551610979111,2.74175483916115,218.926829132188,55.347222222222
NM_001282032.1,0.105787318800487,16.1150864699387,11.1701267511177,136.219679669011,8.45292887029288
